student_id,clgbranch,clgyear,clgsem,video_title,rating
S0001,CSE,1,1,Deep Learning with TensorFlow,3.1
S0002,CSE,2,1,DevOps Crash Course,2.7
S0003,CSE,4,1,Python Programming Fundamentals,2.7
S0004,CSE,2,1,DevOps Crash Course,3.0
S0005,CSE,4,1,Object-Oriented Programming in C++,4.0
S0006,CSE,1,1,Full Stack Web Development,3.4
S0007,CSE,2,1,Cybersecurity Basics,2.8
S0008,CSE,4,1,Cybersecurity Basics,4.6
S0009,CSE,3,1,Object-Oriented Programming in C++,3.8
S0010,CSE,4,1,DevOps Crash Course,3.2
S0011,CSE,3,1,Advanced Java Concepts,2.6
S0012,CSE,2,2,Advanced Java Concepts,4.6
S0013,CSE,1,2,Deep Learning with TensorFlow,3.6
S0014,CSE,3,1,Cybersecurity Basics,3.4
S0015,CSE,3,1,Mobile App Development with Flutter,4.1
S0016,CSE,2,1,Object-Oriented Programming in C++,3.4
S0017,CSE,2,2,Python Programming Fundamentals,3.1
S0018,CSE,1,2,Full Stack Web Development,3.2
S0019,CSE,2,2,Git and GitHub Essentials,4.1
S0020,CSE,4,2,Introduction to Algorithms,3.2
S0021,CSE,2,2,Mobile App Development with Flutter,3.6
S0022,CSE,4,2,Git and GitHub Essentials,5.0
S0023,CSE,2,2,Advanced Java Concepts,4.4
S0024,CSE,1,1,Introduction to Algorithms,4.5
S0025,CSE,4,1,Full Stack Web Development,3.5
S0026,CSE,4,2,DevOps Crash Course,4.7
S0027,CSE,1,1,DevOps Crash Course,4.4
S0028,CSE,3,1,Deep Learning with TensorFlow,3.6
S0029,CSE,4,1,Deep Learning with TensorFlow,4.9
S0030,CSE,2,1,Deep Learning with TensorFlow,4.6
S0031,CSE,2,1,Cybersecurity Basics,4.4
S0032,CSE,1,2,Object-Oriented Programming in C++,2.5
S0033,CSE,3,2,Git and GitHub Essentials,2.6
S0034,CSE,1,1,Object-Oriented Programming in C++,4.5
S0035,CSE,2,1,Object-Oriented Programming in C++,4.9
S0036,CSE,2,2,DevOps Crash Course,4.7
S0037,CSE,4,1,DevOps Crash Course,4.4
S0038,CSE,2,2,Full Stack Web Development,5.0
S0039,CSE,3,2,DevOps Crash Course,3.6
S0040,CSE,2,1,Advanced Java Concepts,3.3
S0041,CSE,2,1,Python Programming Fundamentals,2.7
S0042,CSE,1,1,Advanced Java Concepts,4.8
S0043,CSE,3,1,DevOps Crash Course,3.1
S0044,CSE,4,1,DevOps Crash Course,2.8
S0045,CSE,4,1,Object-Oriented Programming in C++,4.5
S0046,CSE,2,1,Advanced Java Concepts,4.1
S0047,CSE,3,2,Full Stack Web Development,3.7
S0048,CSE,1,1,Python Programming Fundamentals,3.5
S0049,CSE,3,1,Git and GitHub Essentials,3.0
S0050,CSE,4,1,Full Stack Web Development,3.0
S0051,CSE,4,1,Advanced Java Concepts,3.6
S0052,CSE,1,1,DevOps Crash Course,4.6
S0053,CSE,1,1,Introduction to Algorithms,3.5
S0054,CSE,4,1,Full Stack Web Development,4.8
S0055,CSE,2,2,Python Programming Fundamentals,5.0
S0056,CSE,3,2,Deep Learning with TensorFlow,3.6
S0057,CSE,4,1,Git and GitHub Essentials,3.2
S0058,CSE,1,1,Cybersecurity Basics,2.6
S0059,CSE,4,1,Python Programming Fundamentals,4.9
S0060,CSE,1,1,Advanced Java Concepts,4.0
S0061,CSE,2,2,Advanced Java Concepts,4.9
S0062,CSE,2,1,Mobile App Development with Flutter,2.7
S0063,CSE,3,2,Git and GitHub Essentials,4.2
S0064,CSE,3,1,Deep Learning with TensorFlow,3.5
S0065,CSE,3,2,Cybersecurity Basics,4.8
S0066,CSE,1,1,Object-Oriented Programming in C++,4.1
S0067,CSE,1,1,DevOps Crash Course,3.0
S0068,CSE,3,1,Cybersecurity Basics,4.7
S0069,CSE,2,2,Deep Learning with TensorFlow,2.9
S0070,CSE,3,1,DevOps Crash Course,3.2
S0071,CSE,1,1,Deep Learning with TensorFlow,2.8
S0072,CSE,1,1,Deep Learning with TensorFlow,3.2
S0073,CSE,2,2,Git and GitHub Essentials,4.2
S0074,CSE,3,2,Deep Learning with TensorFlow,4.8
S0075,CSE,1,1,Full Stack Web Development,4.6
S0076,CSE,1,1,Cybersecurity Basics,4.4
S0077,CSE,3,1,Object-Oriented Programming in C++,3.9
S0078,CSE,4,1,Advanced Java Concepts,2.7
S0079,CSE,2,1,Cybersecurity Basics,4.0
S0080,CSE,2,2,Introduction to Algorithms,2.6
S0081,CSE,3,1,Cybersecurity Basics,3.0
S0082,CSE,2,1,Cybersecurity Basics,4.5
S0083,CSE,4,1,Git and GitHub Essentials,4.7
S0084,CSE,2,2,Python Programming Fundamentals,2.9
S0085,CSE,3,2,Git and GitHub Essentials,3.2
S0086,CSE,1,2,Python Programming Fundamentals,4.6
S0087,CSE,2,1,Object-Oriented Programming in C++,3.4
S0088,CSE,2,1,Python Programming Fundamentals,4.2
S0089,CSE,4,2,Deep Learning with TensorFlow,4.7
S0090,CSE,3,2,DevOps Crash Course,3.5
S0091,CSE,3,1,Advanced Java Concepts,4.7
S0092,CSE,3,1,Mobile App Development with Flutter,4.9
S0093,CSE,3,1,Advanced Java Concepts,4.0
S0094,CSE,3,2,Full Stack Web Development,4.0
S0095,CSE,1,2,Mobile App Development with Flutter,3.0
S0096,CSE,1,2,Python Programming Fundamentals,3.8
S0097,CSE,2,2,Full Stack Web Development,2.7
S0098,CSE,3,2,Advanced Java Concepts,4.3
S0099,CSE,3,2,Full Stack Web Development,3.3
S0100,CSE,3,1,Git and GitHub Essentials,3.6
S0101,CSE,4,1,Mobile App Development with Flutter,3.9
S0102,CSE,4,1,Deep Learning with TensorFlow,3.2
S0103,CSE,4,2,Object-Oriented Programming in C++,3.6
S0104,CSE,2,2,Introduction to Algorithms,4.1
S0105,CSE,3,2,Advanced Java Concepts,4.5
S0106,CSE,2,2,Git and GitHub Essentials,4.5
S0107,CSE,2,1,Python Programming Fundamentals,3.1
S0108,CSE,4,1,Object-Oriented Programming in C++,3.5
S0109,CSE,2,2,Object-Oriented Programming in C++,3.5
S0110,CSE,2,1,Advanced Java Concepts,4.4
S0111,CSE,2,1,DevOps Crash Course,3.7
S0112,CSE,2,1,Object-Oriented Programming in C++,2.8
S0113,CSE,4,2,Object-Oriented Programming in C++,4.0
S0114,CSE,4,2,Introduction to Algorithms,4.4
S0115,CSE,4,2,Deep Learning with TensorFlow,4.4
S0116,CSE,3,2,Git and GitHub Essentials,3.2
S0117,CSE,1,2,Git and GitHub Essentials,3.2
S0118,CSE,3,1,Introduction to Algorithms,2.9
S0119,CSE,4,1,Git and GitHub Essentials,2.7
S0120,CSE,4,2,DevOps Crash Course,3.7
S0121,CSE,1,1,Full Stack Web Development,3.5
S0122,CSE,1,2,Object-Oriented Programming in C++,2.5
S0123,CSE,3,2,Full Stack Web Development,4.6
S0124,CSE,4,1,Object-Oriented Programming in C++,3.0
S0125,CSE,4,2,Python Programming Fundamentals,3.5
S0126,CSE,4,1,Object-Oriented Programming in C++,4.8
S0127,CSE,1,2,Mobile App Development with Flutter,3.9
S0128,CSE,1,1,Full Stack Web Development,2.8
S0129,CSE,4,1,Python Programming Fundamentals,3.2
